Age,Income,Number of Children,Years of Education
30,50000,2,12
45,70000,1,16
35,60000,3,14
50,80000,2,18
25,40000,0,10
55,90000,2,20
40,65000,1,15
60,100000,3,22
28,48000,2,13
47,72000,1,17
33,55000,2,14
52,82000,1,19
38,62000,2,16
58,95000,1,21
42,68000,3,17
65,110000,2,23
34,59000,1,15
56,92000,0,20
48,75000,2,18
37,61000,1,16
63,105000,3,22
32,53000,2,13
51,83000,1,19
41,67000,2,17
59,97000,1,21
39,64000,3,16
70,120000,2,24
29,51000,1,12
49,78000,2,18
36,60000,0,15
53,86000,1,20
27,47000,2,12
46,73000,3,17
31,52000,1,13
54,89000,2,21
43,70000,1,17
66,112000,3,23
26,45000,2,11
57,93000,1,21
44,69000,2,17
67,115000,0,23
24,42000,1,10
61,102000,2,22
35,59000,3,15
50,80000,1,18
